Requêtes les plus fréquentes,Les 3 derniers mois Clics,Même période l'année dernière Clics,Les 3 derniers mois Impressions,Même période l'année dernière Impressions,Les 3 derniers mois CTR,Même période l'année dernière CTR,Les 3 derniers mois Position,Même période l'année dernière Position
festival de bordeaux 2026,3,0,43,0,6.98%,0%,4.16,0
logement au mois bordeaux,3,0,38,0,7.89%,0%,6.11,0
appart hôtel au mois pas cher,3,0,25,0,12%,0%,3.92,0
logement au mois,3,0,25,0,12%,0%,4.8,0
événements bordeaux juin 2026,3,0,16,0,18.75%,0%,04.06,0
boulangerie,2,0,2374,0,0.08%,0%,8.14,0
patisserie pau,2,0,597,0,0.34%,0%,11.19,0
foire de pau 2026,2,0,314,0,0.64%,0%,6.78,0
appart hôtel pau,2,1,304,240,0.66%,0.42%,7.66,5
resto gastro bordeaux,2,0,238,0,0.84%,0%,11.48,0
victoria bordeaux,2,2,220,208,0.91%,0.96%,12.5,3.73
hotel pau,2,2,207,2033,0.97%,0.1%,22.29,23.91
appartement hotel pau,2,0,190,175,1.05%,0%,14.01,5.86
apparthotel bordeaux centre,2,2,182,247,1.1%,0.81%,8.2,9.11
resto etoile bordeaux,2,0,169,13,1.18%,0%,10.24,36
appart'hôtel bordeaux centre,2,0,160,32,1.25%,0%,9.81,10.19
bordeaux festival 2026,2,0,155,0,1.29%,0%,6.55,0
restaurant gastronomique gironde,2,0,149,0,1.34%,0%,10.29,0
salle formation bordeaux,2,0,135,0,1.48%,0%,5.43,0
feu d'artifice bordeaux 14 juillet 2026,2,0,134,0,1.49%,0%,5.6,0
appart hôtel bordeaux centre,2,3,131,283,1.53%,1.06%,7.46,10.39
avis sur appart hôtel victoria garden,2,0,124,0,1.61%,0%,5.52,0
restaurant 1 etoile bordeaux,2,0,122,21,1.64%,0%,9.61,35.24
fete du vin 2026 bordeaux,2,0,108,0,1.85%,0%,5.62,0
appart hotel pau centre,2,0,106,180,1.89%,0%,8.31,7.2
bordeaux 2026,2,0,101,0,1.98%,0%,3.88,0
hotel bordeaux 4 personnes,2,0,99,20,2.02%,0%,7.63,9.45
appart' hôtel bordeaux centre,2,0,86,24,2.33%,0%,7.73,10.79
location 1 mois bordeaux,2,0,85,0,2.35%,0%,6.19,0
hotel victoria garden burdeos,2,3,83,103,2.41%,2.91%,04.08,05.07
meilleur boulangerie pau,2,0,82,16,2.44%,0%,4.89,30.12
fete de vin bordeaux 2026,2,0,80,0,2.5%,0%,6.86,0
festival bordeaux juillet 2026,2,0,75,0,2.67%,0%,6.73,0
fete du fleuve 2026,2,0,70,0,2.86%,0%,10.17,0
appart hotel bordeaux au mois pas cher,2,0,69,8,2.9%,0%,8.42,14.62
les châteaux de france,2,0,69,15,2.9%,0%,10.25,22
festival bordeaux aout 2026,2,0,68,0,2.94%,0%,6.81,0
aparthotel victoria garden bordeaux,2,7,65,99,3.08%,7.07%,4.74,03.04
hotel longue durée bordeaux,2,0,61,93,3.28%,0%,7.39,18.69
aparthotel victoria garden pau,2,9,57,104,3.51%,8.65%,1.84,2.83
monument bordeaux historique,2,0,55,61,3.64%,0%,7.15,7.9
bordeaux 8 mai 2026,2,0,54,0,3.7%,0%,6.76,0
bordeaux mai 2026,2,0,54,0,3.7%,0%,07.02,0
evenement bordeaux avril 2026,2,0,53,0,3.77%,0%,6.38,0
festival 2026 bordeaux,2,0,51,0,3.92%,0%,4.78,0
chef étoilé bordeaux,2,0,51,18,3.92%,0%,10.96,36.39
hotel victoria pau,2,9,35,89,5.71%,10.11%,2.6,1.98
appart hotel cours de la somme bordeaux,2,3,28,56,7.14%,5.36%,02.07,1.84
fete de pau 2026,2,0,26,0,7.69%,0%,5.96,0
bordeaux fete le fleuve 2026,2,0,18,0,11.11%,0%,9.5,0
fetes de pau 2026,2,0,10,0,20%,0%,1.3,0
location longue durée pau,2,0,7,0,28.57%,0%,9.57,0
victoria gar,2,0,7,0,28.57%,0%,21.43,0
appartement hotel bordeaux,1,2,783,1177,0.13%,0.17%,10.8,10.4
aparthotel bordeaux,1,1,720,852,0.14%,0.12%,11.64,17.23
bordeaux monuments,1,0,554,215,0.18%,0%,7.14,18.25
apart hotel bordeaux,1,4,500,1051,0.2%,0.38%,11.3,10.32
hotel bordeaux avec parking,1,0,378,147,0.26%,0%,12.09,14.38
meilleur rooftop bordeaux,1,0,359,358,0.28%,0%,10.45,32.64
restaurant étoilé gironde,1,0,286,7,0.35%,0%,11.83,60.29
salle de formation bordeaux,1,0,265,0,0.38%,0%,6.88,0
chambre à louer pau,1,0,218,0,0.46%,0%,8.53,0
restaurants étoilés bordeaux,1,0,214,19,0.47%,0%,10.07,36.42
hotel appartement bordeaux,1,0,187,200,0.53%,0%,11.12,10.67
hôtel bordeaux centre avec parking,1,0,168,0,0.6%,0%,11.49,0
rooftop bordeaux cité du vin,1,0,160,118,0.62%,0%,12.67,29.65
hotel derniere minute bordeaux,1,0,156,0,0.64%,0%,08.09,0
hôtel bordeaux avec parking,1,0,145,0,0.69%,0%,10.16,0
hotel a bordeaux avec parking,1,0,144,31,0.69%,0%,13.49,15.16
monuments de bordeaux,1,1,141,145,0.71%,0.69%,4.18,8.28
appart hôtel victoria garden,1,0,122,3,0.82%,0%,04.03,1
victoria garden appart hotel bordeaux,1,0,120,0,0.83%,0%,32.57,0
restaurant étoilé bordeaux et alentours,1,0,114,0,0.88%,0%,11.04,0
la fete du vin bordeaux 2026,1,0,111,0,0.9%,0%,06.09,0
pâtisserie pau,1,0,111,3,0.9%,0%,12.57,58
hotel salle de reunion bordeaux,1,0,109,0,0.92%,0%,10.8,0
bordeaux monuments historiques,1,1,97,90,1.03%,1.11%,11.18,11.44
patissier pau,1,0,89,14,1.12%,0%,10.08,59.57
etoile bordeaux restaurant,1,0,88,2,1.14%,0%,9.76,41
aparthotel pau,1,1,86,144,1.16%,0.69%,6.67,7.74
foire au vin bordeaux 2026,1,0,84,0,1.19%,0%,6.43,0
pau boulangerie,1,0,83,5,1.2%,0%,7.48,36.2
etoilé bordeaux,1,0,79,8,1.27%,0%,10.34,31.5
chateaux francais,1,0,73,51,1.37%,0%,9.4,11.1
foire du vin bordeaux 2026,1,0,72,0,1.39%,0%,6.21,0
appart hotel long sejour bordeaux,1,0,72,136,1.39%,0%,11.08,13.65
appart hotel bordeau,1,1,70,159,1.43%,0.63%,8.49,10.72
restaurant chic bordeaux,1,0,69,0,1.45%,0%,10.91,0
appart hotel a bordeaux,1,1,68,103,1.47%,0.97%,13.94,10.69
tous les châteaux de france,1,1,66,7,1.52%,14.29%,9.95,61
meilleur restaurant gastronomique gironde,1,0,66,0,1.52%,0%,11.89,0
chambre a louer pau,1,0,64,0,1.56%,0%,8,0
hôtel au mois 500 euros,1,0,62,10,1.61%,0%,11.66,16.7
restaurant etoile bordeaux centre,1,0,60,4,1.67%,0%,8.4,23.75
restaurants gastronomiques bordeaux,1,0,60,0,1.67%,0%,10.65,0
hôtel au mois,1,0,57,0,1.75%,0%,8.67,0
programme ete a pau 2026,1,0,57,0,1.75%,0%,9.65,0
apart hotel victoria,1,0,57,192,1.75%,0%,23.67,11.99
appart hotel bordeaux gare saint jean,1,4,54,102,1.85%,3.92%,9.57,8.25
monument historique bordeaux carte,1,0,54,11,1.85%,0%,10.07,17.73
victoria's garden,1,7,54,71,1.85%,9.86%,17.83,8.9
restaurant bordeaux etoile,1,0,53,6,1.89%,0%,10.72,38.17
bar rooftop bordeaux,1,0,53,334,1.89%,0%,23.66,49.5
restaurant etoile,1,0,51,0,1.96%,0%,9.37,0
resto gastronomique bordeaux,1,0,51,1,1.96%,0%,11.61,101
meilleur patisserie pau,1,0,51,185,1.96%,0%,12.35,28.19
appartement hotel bordeaux centre,1,0,51,0,1.96%,0%,14.59,0
meilleurs rooftop bordeaux,1,0,50,7,2%,0%,8.32,16.86
plan appart hotel,1,2,49,64,2.04%,3.12%,1,1
étoilé bordeaux,1,0,48,0,2.08%,0%,8.71,0
lété à pau 2026,1,0,47,0,2.13%,0%,9.4,0
victoria gardens hotels,1,0,47,129,2.13%,0%,17.02,23.19
hôtel pau,1,0,47,601,2.13%,0%,22.68,25.53
hotel location au mois,1,0,46,0,2.17%,0%,11.65,0
appart hotel bordeaux gare,1,0,44,134,2.27%,0%,7.95,8.18
gastro bordeaux restaurant,1,0,44,0,2.27%,0%,10.73,0
hotel centre bordeaux,1,0,44,155,2.27%,0%,19.82,38.61
bordeaux festivals 2026,1,0,42,0,2.38%,0%,5.36,0
châteaux de france,1,0,42,21,2.38%,0%,10.05,31.29
forfait hôtel au mois,1,0,42,0,2.38%,0%,16.88,0
fête de la musique 2026 pau,1,0,41,0,2.44%,0%,6.22,0
foire pau 2026,1,0,39,0,2.56%,0%,7.38,0
hôtel meublé au mois,1,0,39,0,2.56%,0%,8.95,0
appart'hôtel victoria garden bordeaux centre *** fotos,1,0,38,0,2.63%,0%,2.71,0
hotel bordeaux 3 personnes,1,0,38,0,2.63%,0%,3.13,0
louer salle de formation bordeaux,1,0,38,0,2.63%,0%,3.79,0
hôtel bordeaux,1,0,38,576,2.63%,0%,49.66,34.88
hôtel au mois pas cher,1,0,37,0,2.7%,0%,4.92,0
studio hotel bordeaux,1,1,36,34,2.78%,2.94%,21.92,13.18
restaurant de luxe bordeaux,1,0,35,0,2.86%,0%,10.54,0
hotel parking bordeaux,1,0,34,28,2.94%,0%,10.38,14.79
chateau les plus visités de france,1,0,32,0,3.12%,0%,10.16,0
foire expo pau 2026,1,0,31,0,3.23%,0%,8.42,0
hotel bordeaux centre avec parking gratuit,1,0,31,28,3.23%,0%,24.61,12.96
garden victoria,1,4,30,28,3.33%,14.29%,5.53,6.75
hotel avec parking bordeaux centre,1,0,30,10,3.33%,0%,12.43,13.2
hotel bordeaux centre-ville,1,0,28,46,3.57%,0%,10.57,41.35
restaurant gastronomique a bordeaux,1,0,28,4,3.57%,0%,12.32,59.25
festival bordeaux quinconces 2026,1,0,27,0,3.7%,0%,8.85,0
date casetas pau 2026,1,0,26,0,3.85%,0%,8.73,0
meilleurs restaurants gastronomiques bordeaux,1,0,24,0,4.17%,0%,12.46,0
victoria garden bordeaux avis,1,2,23,103,4.35%,1.94%,6,6.79
fete vin bordeaux 2026,1,0,23,0,4.35%,0%,7,0
hotel a louer au mois,1,0,23,0,4.35%,0%,10.17,0
restaurant romantique pau,1,0,22,0,4.55%,0%,13.36,0
fete du fleuve bordeaux 2026,1,0,21,0,4.76%,0%,9.38,0
epicuriales bordeaux 2026,1,0,21,0,4.76%,0%,11.24,0
fete pau 2026,1,0,20,0,5%,0%,3.5,0
feria pau 2026,1,0,19,0,5.26%,0%,7.63,0
concert bordeaux juillet 2026,1,0,18,0,5.56%,0%,9.72,0
location 3 mois bordeaux,1,0,18,0,5.56%,0%,10.11,0
logement courte durée bordeaux,1,0,18,0,5.56%,0%,11.83,0
restaurant chef etoilé bordeaux,1,0,17,8,5.88%,0%,9.41,31.62
restaurant gastronomique,1,0,17,0,5.88%,0%,10.24,0
location hôtel au mois,1,0,17,0,5.88%,0%,10.59,0
appart hotel location longue durée,1,0,17,0,5.88%,0%,13.65,0
événement bordeaux 2026,1,0,16,0,6.25%,0%,3.19,0
hotel 30 € la nuit,1,0,16,0,6.25%,0%,5.69,0
victoria garden appart hotel,1,3,16,62,6.25%,4.84%,29.88,1.5
pau 2026,1,0,15,0,6.67%,0%,07.07,0
châteaux français,1,0,15,6,6.67%,0%,8.93,23.33
chambre d'hôtel au mois,1,0,15,0,6.67%,0%,14.53,0
double studio,1,0,15,1,6.67%,0%,22.33,4
logement pmr bordeaux,1,0,14,0,7.14%,0%,7.86,0
victoria garden centre,1,0,14,17,7.14%,0%,9.79,45
victoria garden jobs,1,0,13,2,7.69%,0%,9.38,4.5
les chateaux francais,1,0,13,0,7.69%,0%,10.23,0
appart hotel bordeaux meriadeck,1,0,13,9,7.69%,0%,27.23,55.33
salon bordeaux juin 2026,1,0,11,0,9.09%,0%,3.73,0
victoria garden apartments,1,0,11,18,9.09%,0%,6.45,15
bordeaux avril 2026,1,0,10,0,10%,0%,5.2,0
château célèbre france,1,0,10,9,10%,0%,10,16.44
hotel nansouty bordeaux,1,0,9,14,11.11%,0%,9.89,15.79
fete a bordeaux 2026,1,0,8,0,12.5%,0%,2,0
bordeaux appart hotel centre ville,1,0,8,0,12.5%,0%,7.38,0
restaurant 5 etoile bordeaux,1,0,8,0,12.5%,0%,9.12,0
victora garden,1,0,6,7,16.67%,0%,5.17,2.57
bordeaux events june 2026,1,0,4,0,25%,0%,1,0
louer une chambre au mois,1,0,4,0,25%,0%,3,0
chambre à louer au mois pas cher,1,0,4,0,25%,0%,4.75,0
appartement au mois,1,0,4,0,25%,0%,5.5,0
bordeaux music festival 2026,1,0,4,0,25%,0%,8.5,0
appartement hotel bordeaux centre ville,1,1,4,49,25%,2.04%,14,8.69
monument a visiter bordeaux,1,0,3,0,33.33%,0%,11.33,0
victoria garden pau france,1,0,2,0,50%,0%,1,0
événements juillet 2026,1,0,2,0,50%,0%,1,0
festival vin bordeaux,1,0,2,0,50%,0%,2,0
hotel near me,1,0,2,0,50%,0%,2,0
bordeaux wine week,1,0,2,0,50%,0%,3.5,0
feria burdeos 2026,1,0,2,0,50%,0%,9.5,0
studios bordeaux,1,0,2,5,50%,0%,18.5,68.2
appart hotel recrutement,1,1,2,10,50%,10%,20,10.8
bordeaux wine festival,1,0,1,0,100%,0%,1,0
festival de musique juin 2026,1,0,1,0,100%,0%,1,0
studio superior,1,0,1,0,100%,0%,1,0
bordeaux events 2026,1,0,1,0,100%,0%,2,0
foire expo pau,1,0,1,0,100%,0%,4,0
boulangerie pati,1,0,1,0,100%,0%,8,0
hotel pau pas cher,0,0,1323,196,0%,0%,12.34,23.59
hotel seminaire bordeaux,0,0,619,0,0%,0%,11.66,0
location salle de formation bordeaux,0,0,538,0,0%,0%,5.38,0
appart-hôtels bordeaux,0,0,529,704,0%,0%,11.34,12.9
hotel pas cher pau,0,0,423,88,0%,0%,11.81,28.1
bordeaux appart hotel,0,2,420,769,0%,0.26%,12.01,10.81
hôtel pour groupes à bordeaux,0,0,335,210,0%,0%,06.04,62.19
hotel victoria,0,3,331,984,0%,0.3%,12.48,49.64
hôtel pour séminaire,0,0,307,0,0%,0%,21.48,0
hotel bordeaux centre avec parking,0,5,292,498,0%,1%,13.88,11.87
monument historique bordeaux,0,1,287,282,0%,0.35%,7.97,10.8
hotel séminaire bordeaux,0,0,286,0,0%,0%,11.95,0
hotel séminaire,0,0,280,0,0%,0%,20.56,0
boulangerie autour de moi,0,0,267,0,0%,0%,10.79,0
seminaire bordeaux,0,0,258,0,0%,0%,29.88,0
hotel bordeaux,0,2,256,3614,0%,0.06%,24.26,42.09
salle seminaire bordeaux,0,0,250,0,0%,0%,34,0
hotel seminaire,0,0,242,0,0%,0%,31.43,0
salle de formation,0,0,239,0,0%,0%,5.3,0
roof bordeaux,0,0,226,319,0%,0%,21.84,49.77
louer chambre hotel au mois,0,0,224,16,0%,0%,13.17,91.38
meilleur bar à vin bordeaux,0,1,222,304,0%,0.33%,21.02,13.6
hébergement séminaire,0,0,221,0,0%,0%,35.91,0
boulangerie pau autour de moi,0,0,216,0,0%,0%,09.08,0
etoile bordeaux,0,0,216,3,0%,0%,9.53,23.33
hotel pour seminaire,0,0,214,0,0%,0%,15.77,0
hotel appart bordeaux,0,0,210,301,0%,0%,11.83,11.91
chambre d hôtel à louer au mois,0,0,204,0,0%,0%,12.33,0
séminaire bordeaux,0,0,203,0,0%,0%,34.23,0
meilleure pâtisserie pau,0,1,200,196,0%,0.51%,10.23,29.46
appart hotel victoria,0,1,193,270,0%,0.37%,13.22,07.05
appart hotel pas cher bordeaux,0,0,189,180,0%,0%,11.35,14.82
appartehotel location entreprise,0,0,189,0,0%,0%,31.34,0
hotel avec parking bordeaux,0,0,185,129,0%,0%,13.61,17.74
chateau de france,0,0,184,84,0%,0%,12.48,44.58
hôtel pas cher pau,0,0,184,64,0%,0%,14.25,32.55
hotel bordeaux centre ville,0,1,184,530,0%,0.19%,26.97,42.3
bar a vin bordeaux,0,0,181,421,0%,0%,23.45,43.49
bar à vin bordeaux,0,0,174,598,0%,0%,17.88,39.32
château de france,0,0,173,74,0%,0%,10.86,34.53
apparthôtel+victoria+garden+bordeaux+centre,0,0,172,170,0%,0%,02.08,2.38
hotel proche arkea arena bordeaux,0,0,164,0,0%,0%,11.45,0
cozy apartment hotel bordeaux center,0,0,164,0,0%,0%,29.98,0
restaurant bordeaux étoilé,0,0,163,20,0%,0%,10.57,33.95
hôtel victoria photos,0,0,161,0,0%,0%,9.39,0
appart hôtel à bordeaux,0,0,156,158,0%,0%,9.82,11.13
salle de réunion bordeaux,0,0,156,0,0%,0%,31.83,0
bordeaux monument,0,0,155,90,0%,0%,7.41,8.81
hôtel bordeaux centre,0,0,151,300,0%,0%,20.03,35.58
gastronomique bordeaux,0,0,150,7,0%,0%,11.26,69.71
appartement hôtel bordeaux,0,1,149,169,0%,0.59%,13.56,10.82
restaurant 3 étoiles bordeaux,0,0,142,9,0%,0%,12.26,27
hotel studio bordeaux,0,1,142,71,0%,1.41%,19.94,13.2
boulangerie à proximité,0,0,139,0,0%,0%,9.5,0
hôtel avec salle de réunion,0,0,138,0,0%,0%,25.34,0
salles de réunion bordeaux,0,0,138,0,0%,0%,26.85,0
place monumentale de bordeaux,0,0,137,0,0%,0%,8.29,0
l'été à pau 2026,0,0,137,0,0%,0%,8.98,0
long séjour bordeaux,0,0,134,0,0%,0%,3.57,0
aparthotel bordeaux center,0,0,134,85,0%,0%,15.41,36.44
restaurant étoilé à bordeaux,0,0,132,20,0%,0%,10.68,28.4
victoria garden foch,0,0,129,94,0%,0%,12.08,11.43
hôtels bordeaux centre ville,0,0,128,505,0%,0%,24.12,86.87
fête du fleuve bordeaux 2026,0,0,127,0,0%,0%,10.15,0
été à pau 2026,0,0,126,0,0%,0%,8.63,0
fête du vin 2026,0,0,125,0,0%,0%,6.85,0
hôtels avec kitchenette bordeaux,0,0,125,99,0%,0%,12.08,12.36
meilleures patisseries pau,0,0,122,88,0%,0%,9.99,19.62
aparthotel victoria,0,0,121,268,0%,0%,17.13,10.16
guide monument historique bordeaux,0,0,119,122,0%,0%,7.72,8.16
chateaux de france,0,0,119,118,0%,0%,11.99,21.52
meilleur bar a vin bordeaux,0,0,119,530,0%,0%,21.46,13.16
nouveau festival bordeaux 2026,0,0,118,0,0%,0%,7.81,0
hotel avec salle de réunion,0,0,118,0,0%,0%,19.92,0
hôtels avec parking à bordeaux,0,0,117,247,0%,0%,12.01,23.79
hotel seminaire aquitaine,0,0,117,0,0%,0%,30.28,0
